column	type	plain_pages	rle_dict_pages	comparison_windows	rows_compared	plain_window_wins	rle_dict_window_wins	tie_window_wins	plain_window_win_pct	rle_dict_window_win_pct	tie_window_win_pct	plain_rows_won	rle_dict_rows_won	tie_rows_won	plain_row_win_pct	rle_dict_row_win_pct	tie_row_win_pct	plain_allocated_compressed_bytes	rle_dict_allocated_compressed_bytes_with_amortized_dictionary	rle_dict_allocated_vs_plain_pct	winner_by_allocated_bytes	plain_total_page_compressed_bytes	rle_dict_total_page_compressed_bytes_with_amortized_dictionary	exact_matched_pages	exact_plain_wins	exact_rle_dict_wins	exact_ties	unmatched_plain_pages	unmatched_rle_dict_pages
IsEvent	INT(16,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	72.000000	105.000000	45.833333	plain	72.000000	105.000000	1	1	0	0	0	0
IsLink	INT(16,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	72.000000	105.000000	45.833333	plain	72.000000	105.000000	1	1	0	0	0	0
IsMobile	INT(16,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	296.000000	323.000000	9.121622	plain	296.000000	323.000000	1	1	0	0	0	0
IsNotBounce	INT(16,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	72.000000	105.000000	45.833333	plain	72.000000	105.000000	1	1	0	0	0	0
IsOldCounter	INT(16,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	72.000000	105.000000	45.833333	plain	72.000000	105.000000	1	1	0	0	0	0
IsParameter	INT(16,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	72.000000	105.000000	45.833333	plain	72.000000	105.000000	1	1	0	0	0	0
JavascriptEnable	INT(16,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	202.000000	249.000000	23.267327	plain	202.000000	249.000000	1	1	0	0	0	0
LocalEventTime	TIMESTAMP(isAdjustedToUTC=true,unit=MILLIS)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	18356.000000	33468.000000	82.327304	plain	18356.000000	33468.000000	1	1	0	0	0	0
MobilePhone	INT(16,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	278.000000	290.000000	4.316547	plain	278.000000	290.000000	1	1	0	0	0	0
NetMajor	INT(16,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	340.000000	361.000000	6.176471	plain	340.000000	361.000000	1	1	0	0	0	0
OS	INT(16,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	955.000000	1354.000000	41.780105	plain	955.000000	1354.000000	1	1	0	0	0	0
OpenerName	INT(32,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	73.000000	105.000000	43.835616	plain	73.000000	105.000000	1	1	0	0	0	0
OpenstatSourceID	STRING	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	267.000000	268.000000	0.374532	plain	267.000000	268.000000	1	1	0	0	0	0
