column	type	scope	winner_metric	compression	column_config_encoding	int_encoding	date_encoding	timestamp_encoding	string_encoding	physical_bytes	baseline_encoded_bytes	encoded_bytes	compressed_bytes	post_compression_no_encoding_bytes	post_compression_no_encoding_ratio	target_bytes	post_encoding_ratio	post_compression_ratio	encoding_compression_ratio_improvement_pct	codec_ratio	experiment	result_file	column_stats_tsv
URL	string	zstd-3	compressed_bytes	zstd-3	rle-dict	plain	plain	plain	rle-dict	760012	800512	247077	73426	90486	8.846805	73426	3.239929	10.902296	23.234277	3.364980	rows-10000-comp-zstd-3-int-plain-str-rle-dict-date-plain-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-rle-dict-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-rle-dict-date-plain-ts-plain_columns.tsv
URL	string	overall	compressed_bytes	zstd-3	rle-dict	plain	plain	plain	rle-dict	760012	800512	247077	73426	90486	8.846805	73426	3.239929	10.902296	23.234277	3.364980	rows-10000-comp-zstd-3-int-plain-str-rle-dict-date-plain-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-rle-dict-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-rle-dict-date-plain-ts-plain_columns.tsv
URLCategoryID	int16	none	encoded_bytes	none	rle-dict	rle-dict	plain	plain	delta-byte-array	40000	40064	546	546	40064	1.000000	546	73.377289			1.000000	rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-plain-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-plain-ts-plain_columns.tsv
URLCategoryID	int16	snappy	compressed_bytes	snappy	rle-dict	rle-dict	plain	plain	delta-byte-array	40000	40064	546	480	2267	17.672695	480	73.377289	83.466667	372.291667	1.137500	rows-10000-comp-snappy-int-rle-dict-str-delta-byte-array-date-plain-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-snappy-int-rle-dict-str-delta-byte-array-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-snappy-int-rle-dict-str-delta-byte-array-date-plain-ts-plain_columns.tsv
URLCategoryID	int16	zstd-3	compressed_bytes	zstd-3	rle-dict	rle-dict	plain	plain	delta-byte-array	40000	40064	546	418	430	93.172093	418	73.377289	95.846890	2.870813	1.306220	rows-10000-comp-zstd-3-int-rle-dict-str-delta-byte-array-date-plain-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-zstd-3-int-rle-dict-str-delta-byte-array-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-zstd-3-int-rle-dict-str-delta-byte-array-date-plain-ts-plain_columns.tsv
URLCategoryID	int16	overall	compressed_bytes	zstd-3	rle-dict	rle-dict	plain	plain	delta-byte-array	40000	40064	546	418	430	93.172093	418	73.377289	95.846890	2.870813	1.306220	rows-10000-comp-zstd-3-int-rle-dict-str-delta-byte-array-date-plain-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-zstd-3-int-rle-dict-str-delta-byte-array-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-zstd-3-int-rle-dict-str-delta-byte-array-date-plain-ts-plain_columns.tsv
URLHash	int64	none	encoded_bytes	none	rle-dict	rle-dict	plain	plain	delta-byte-array	80000	80080	36727	36727	80080	1.000000	36727	2.180412			1.000000	rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-plain-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-plain-ts-plain_columns.tsv
URLHash	int64	snappy	compressed_bytes	snappy	rle-dict	rle-dict	plain	plain	delta-byte-array	80000	80080	36727	35293	38484	2.080865	35293	2.180412	2.269005	9.041453	1.040631	rows-10000-comp-snappy-int-rle-dict-str-delta-byte-array-date-plain-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-snappy-int-rle-dict-str-delta-byte-array-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-snappy-int-rle-dict-str-delta-byte-array-date-plain-ts-plain_columns.tsv
URLHash	int64	zstd-3	compressed_bytes	zstd-3	plain	plain	plain	plain	delta-byte-array	80000	80080	80080	27185	27185	2.945742	27185	1.000000	2.945742	0.000000	2.945742	rows-10000-comp-zstd-3-int-plain-str-delta-byte-array-date-plain-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-delta-byte-array-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-delta-byte-array-date-plain-ts-plain_columns.tsv
URLHash	int64	overall	compressed_bytes	zstd-3	plain	plain	plain	plain	delta-byte-array	80000	80080	80080	27185	27185	2.945742	27185	1.000000	2.945742	0.000000	2.945742	rows-10000-comp-zstd-3-int-plain-str-delta-byte-array-date-plain-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-delta-byte-array-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-delta-byte-array-date-plain-ts-plain_columns.tsv
